-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2018 through 12/31/2018 
Location: Latitude  12.8896   Longitude 74.9362 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 79.56 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_LW_DWN
12.88961,74.93621,2018,08,15,             10.60
12.88961,74.93621,2018,08,16,             10.69
12.88961,74.93621,2018,08,17,             10.94
12.88961,74.93621,2018,08,18,             10.49
12.88961,74.93621,2018,08,19,             10.26
12.88961,74.93621,2018,08,20,             10.14
12.88961,74.93621,2018,08,21,             10.28
12.88961,74.93621,2018,08,22,             10.38
12.88961,74.93621,2018,08,23,             10.17
12.88961,74.93621,2018,08,24,             10.42
12.88961,74.93621,2018,08,25,             10.20
12.88961,74.93621,2018,08,26,             10.26
12.88961,74.93621,2018,08,27,             10.29
12.88961,74.93621,2018,08,28,             10.44
12.88961,74.93621,2018,08,29,             10.35
12.88961,74.93621,2018,08,30,             10.17
12.88961,74.93621,2018,08,31,             10.20
12.88961,74.93621,2018,09,01,             10.09
12.88961,74.93621,2018,09,02,             10.01
12.88961,74.93621,2018,09,03,              9.50
12.88961,74.93621,2018,09,04,              9.55
12.88961,74.93621,2018,09,05,              9.72
12.88961,74.93621,2018,09,06,              9.89
12.88961,74.93621,2018,09,07,              9.99
12.88961,74.93621,2018,09,08,              9.90
12.88961,74.93621,2018,09,09,              9.41
12.88961,74.93621,2018,09,10,              9.29
12.88961,74.93621,2018,09,11,              9.85
12.88961,74.93621,2018,09,12,              9.61
12.88961,74.93621,2018,09,13,              9.61
12.88961,74.93621,2018,09,14,              9.72
12.88961,74.93621,2018,09,15,              9.84
12.88961,74.93621,2018,09,16,              9.87
12.88961,74.93621,2018,09,17,              9.97
12.88961,74.93621,2018,09,18,              9.99
12.88961,74.93621,2018,09,19,             10.00
12.88961,74.93621,2018,09,20,              9.80
12.88961,74.93621,2018,09,21,              9.86
12.88961,74.93621,2018,09,22,              9.83
12.88961,74.93621,2018,09,23,              9.78
12.88961,74.93621,2018,09,24,             10.04
12.88961,74.93621,2018,09,25,             10.19
12.88961,74.93621,2018,09,26,             10.47
12.88961,74.93621,2018,09,27,             10.57
12.88961,74.93621,2018,09,28,             10.42
12.88961,74.93621,2018,09,29,             10.68
12.88961,74.93621,2018,09,30,             10.63
12.88961,74.93621,2018,10,01,             10.42
12.88961,74.93621,2018,10,02,             10.56
12.88961,74.93621,2018,10,03,             10.58
12.88961,74.93621,2018,10,04,             10.79
12.88961,74.93621,2018,10,05,             10.81
12.88961,74.93621,2018,10,06,             10.77
12.88961,74.93621,2018,10,07,             10.56
12.88961,74.93621,2018,10,08,             10.55
12.88961,74.93621,2018,10,09,             10.62
12.88961,74.93621,2018,10,10,             10.42
12.88961,74.93621,2018,10,11,             10.46
12.88961,74.93621,2018,10,12,             10.17
12.88961,74.93621,2018,10,13,             10.37
12.88961,74.93621,2018,10,14,             10.50
12.88961,74.93621,2018,10,15,             10.72
12.88961,74.93621,2018,10,16,             10.65
12.88961,74.93621,2018,10,17,             10.40
12.88961,74.93621,2018,10,18,             10.19
12.88961,74.93621,2018,10,19,             10.33
12.88961,74.93621,2018,10,20,             10.69
12.88961,74.93621,2018,10,21,             10.16
12.88961,74.93621,2018,10,22,             10.11
12.88961,74.93621,2018,10,23,              9.65
12.88961,74.93621,2018,10,24,              9.46
12.88961,74.93621,2018,10,25,              9.43
12.88961,74.93621,2018,10,26,              9.61
12.88961,74.93621,2018,10,27,              9.36
12.88961,74.93621,2018,10,28,              9.11
12.88961,74.93621,2018,10,29,              9.09
12.88961,74.93621,2018,10,30,              8.87
12.88961,74.93621,2018,10,31,              9.09
12.88961,74.93621,2018,11,01,              9.75
12.88961,74.93621,2018,11,02,             10.14
12.88961,74.93621,2018,11,03,             10.69
12.88961,74.93621,2018,11,04,             10.42
12.88961,74.93621,2018,11,05,             10.42
12.88961,74.93621,2018,11,06,             10.11
12.88961,74.93621,2018,11,07,              9.86
12.88961,74.93621,2018,11,08,              9.24
12.88961,74.93621,2018,11,09,              9.64
12.88961,74.93621,2018,11,10,              9.34
12.88961,74.93621,2018,11,11,              9.15
12.88961,74.93621,2018,11,12,              9.37
12.88961,74.93621,2018,11,13,              9.03
12.88961,74.93621,2018,11,14,              8.98
12.88961,74.93621,2018,11,15,              8.71
12.88961,74.93621,2018,11,16,             10.16
12.88961,74.93621,2018,11,17,             10.50
12.88961,74.93621,2018,11,18,             10.47
12.88961,74.93621,2018,11,19,             10.57
12.88961,74.93621,2018,11,20,             10.37
12.88961,74.93621,2018,11,21,              9.83
12.88961,74.93621,2018,11,22,             10.13
12.88961,74.93621,2018,11,23,             10.68
12.88961,74.93621,2018,11,24,             10.62
12.88961,74.93621,2018,11,25,             10.35
12.88961,74.93621,2018,11,26,              9.95
12.88961,74.93621,2018,11,27,              9.50
12.88961,74.93621,2018,11,28,              8.91
12.88961,74.93621,2018,11,29,              9.59
12.88961,74.93621,2018,11,30,             10.22
12.88961,74.93621,2018,12,01,              9.75
12.88961,74.93621,2018,12,02,              9.25
12.88961,74.93621,2018,12,03,              9.32
12.88961,74.93621,2018,12,04,              9.97
12.88961,74.93621,2018,12,05,             10.59
12.88961,74.93621,2018,12,06,             10.29
12.88961,74.93621,2018,12,07,             10.10
12.88961,74.93621,2018,12,08,              9.78
12.88961,74.93621,2018,12,09,              9.78
12.88961,74.93621,2018,12,10,              9.89
12.88961,74.93621,2018,12,11,              9.52
12.88961,74.93621,2018,12,12,              9.57
12.88961,74.93621,2018,12,13,              9.57
12.88961,74.93621,2018,12,14,              9.66
12.88961,74.93621,2018,12,15,              9.26
12.88961,74.93621,2018,12,16,              9.60
12.88961,74.93621,2018,12,17,              9.35
12.88961,74.93621,2018,12,18,              9.07
12.88961,74.93621,2018,12,19,              9.06
12.88961,74.93621,2018,12,20,              9.71
12.88961,74.93621,2018,12,21,              9.49
12.88961,74.93621,2018,12,22,              9.38
12.88961,74.93621,2018,12,23,             10.11
12.88961,74.93621,2018,12,24,             10.36
12.88961,74.93621,2018,12,25,             10.28
12.88961,74.93621,2018,12,26,              9.96
12.88961,74.93621,2018,12,27,              9.62
12.88961,74.93621,2018,12,28,              9.36
12.88961,74.93621,2018,12,29,              9.34
12.88961,74.93621,2018,12,30,              9.86
12.88961,74.93621,2018,12,31,              8.95
